Item;TAG;DESCRIÇÃO;SALA/BLOCO;BLOCO;MARCA;MODELO;Nº DE SÉRIE;STATUS DE USO;MÉTODO;ROTINA DE USO;STATUS DE AQUISIÇÃO;INSTALAÇÃO;MANUTENÇÃO;CALIBRAÇÃO;QUALIFICAÇÃO;HANDOVER;FORMULÁRIO;RELATÓRIO HOMOLOGADO;N° PROCESSO;N° CONTRATO;EMPRESA;COMENTÁRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;GEN-15;Agitador magnético;N311;B06;DLab;MS-H-S10;MF21AAL0000025;EM USO;"ANÁLISE DE AP, API E VP; 
Determinação dos Agregados de Proteínas; 
Fator VIII recombinante em BDS;
n-glicanos em rFVIII;  
TTT";SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;GEN-16;Agitador magnético;N311;B06;DLab;MS-H-S10;MF228AN0000101;EM USO;"ANÁLISE DE AP, API E VP; 
Determinação dos Agregados de Proteínas; 
Fator VIII recombinante em BDS; 
n-glicanos em rFVIII; 
TTT  ";SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;GEN-17;Termômetro Digital;N311;B06;Fisher;15-077-08 11705843;210704383;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS;
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;GEN-18;Termômetro Digital;N311;B06;Fisher;15-077-08 11705843;210785313;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS;
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;GEN-19;PLA Analysis Software;N311;B06;Stegmann Systems;PLA 3.0 seat license;Não consta;EM USO;POTÊNCIA;;TAKEDA;INSTALADO;NÃO;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;GEN-21;Termômetro Digital de alta precisão;N311;B06;Fisher;15-081-102 15234016;210676566;FORA DE USO;"ANÁLISE DE AP, API E VP; 
pH do BDS; 
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;"Instrumento calibrado. No aguardo do envio do certificado para avaliação do SVC.
21/02: Cobrado ao SM
13/03: Cobrado ao SM
11/06: O instrumento será enviado à TRESCAL para calibração";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;GEN-22;Cronômetro digital;1N311;B06;Fisher;14-649-17 11745863;211020378;EM USO;"ANÁLISE DE AP, API E VP; 
APARÊNCIA DO BDS; 
APARÊNCIA E SOLUB. HEMO8R; 
DILUENTE sWFI PARA HEMO8R; 
POTÊNCIA;
SDS-PAGE; 
WB; 
Determinação dos Agregados de Proteínas;
Determinação de Tris e Histidina; 
Manitol e Trealose; 
Fator VIII recombinante em BDS; 
n-glicanos em rFVIII ";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;GEN-24;Manifold de extração em fase sólida (vacuum filtration - Solid phase model 12 racks);N311;B06;Supelco;Visiprev 12;Não consta;FORA DE USO;"SDS-PAGE;
GLUTATIONA; 
WB; 
Determinação dos Agregados de Proteínas; 
Manitol e Trealose; 
TTT";;TAKEDA;INSTALADO;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;Os vacuômetros foram reprovados e o equipamento está fora de uso. Vamos avaliar a retirada do equipamento do plano de calibração, pois não se trata de um equipamento crítico.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;GEN-25;Cronômetro digital;N311;B06;Fisher;14-649-17 11745863;211018483;EM USO;"ANÁLISE DE AP, API E VP; 
APARÊNCIA DO BDS; 
APARÊNCIA E SOLUB. HEMO8R; 
DILUENTE sWFI PARA HEMO8R; 
Determinação dos Agregados de Proteínas;
Determinação de Tris e Histidina; 
Manitol e Trealose; 
Fator VIII recombinante em BDS; 
n-glicanos em rFVIII ";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;GEN-29;Termômetro Digital;;B06;Fisher;15-077-8 11705843;210785295;EM USO;"ANÁLISE DE AP, API E VP; 
pH do BDS;
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;GEN-30;Termômetro Digital;;B06;Fisher;15-077-08 11705843;210704293;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS;
pH DO HEMO-8r;
POTÊNCIA; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;GEN-31;Termômetro Digital;N311;B06;Fisher;15-077-08 11705843;210785298;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS;
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;GEN-32;Termômetro Digital;;B06;Fisher;15-077-8 11705843;210704455;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS;
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;GEN-33;Termômetro Digital;N311;B06;Fisher;15-077-08 11705843;210785294;EM USO;"ANÁLISE DE AP, API E VP;
pH do BDS; 
pH DO HEMO-8r; 
Fator VIII recombinante em BDS";SIM;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;GSI-512-0001;Guilhotina semi-industrial tamanho A3;N125;B06;Menno;858;Não Consta;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;INSTALADO;NÃO;NÃO;NÃO;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;KI-512-0001;Timer Digital;N310;B06;Incoterm;Timer 3T;T-TIM-0020.00-01;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;KI-512-0002;Timer Digital;N310;B06;Incoterm;Timer 3T;T-TIM-0020.00-02;EM USO;;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;KI-512-0003;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-03;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;KI-512-0004;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-04;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;KI-512-0005;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-05;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;KI-512-0006;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-06;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;KI-512-0007;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-07;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;KI-512-0008;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-08;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;KI-512-0009;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-09;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;KI-512-0010;Timer Digital;N100;B06;Incoterm;Timer 3 tempos digital;T-TIM-0020.00-10;EM USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;KI-512-0011;Timer Digital ;N100;B06;VWR;Não Consta;210059296;FORA DE USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;Verificar com a OPL a necessidade de calibração desse instrumento.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;LCB-512-0001;Leitor de código de barras (1D e 2D);N125;B06;Motorola;DS4208;13352010500675   ;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;INSTALADO;NÃO;NÃO;NÃO;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;LUX-512-0001;Luxímetro;N119;B06;Tenmars;TM-209M;190801115;OBSOLETO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;;;;O equipamento foi reprovado na calibração e está fora de uso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;LUX-512-0002;Luxímetro;N119;B06;Tenmars;TM-209M;190801131;OBSOLETO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;;;;O equipamento foi reprovado na calibração e está fora de uso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;LUX-512-0003;Luxímetro;N119;B06;Minipa;MLM-1011;3326142;EM USO;"ANÁLISE DE AP, API E VP; 
APARÊNCIA DO BDS; 
APARÊNCIA E SOLUB. HEMO8R; 
DILUENTE sWFI PARA HEMO8R";SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;LUX-512-0004;Luxímetro;N119;B06;Minipa;MLM-1011;3326117;EM USO;"ANÁLISE DE AP, API E VP; 
APARÊNCIA DO BDS; 
APARÊNCIA E SOLUB. HEMO8R; 
DILUENTE sWFI PARA HEMO8R";SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;MED-511-0001;Micrômetro Externo Digital;N125;B06;Insize;IP65;180882545;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;N/A;NÃO;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;N116-01;Lavadora de Vidrarias;N116;B06;Getinge;Ultima 820 LX;22C06022;EM USO;;;TAKEDA;INSTALADO;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;N116-02;Purificador de água Milli-Q (lavadora de vidrarias);N116;B06;Merck;IX 7015;F1EB01727A;EM USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;N/A;25800.002805/2023;06/2024;MERCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;N119-01;Sistema de água ultrapura (Milli-Q);N119;B06;Merck;IQ 7010;F1KB21017A;EM USO;"ANÁLISE DE AP, API E VP; 
APARÊNCIA DO BDS; 
APARÊNCIA E SOLUB. HEMO8R; 
DILUENTE sWFI PARA HEMO8R; 
pH do BDS; 
n-glicanos em rFVIII ";SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.002805/2023;06/2024;MERCK;Corretiva sendo realizada em 31/01/2025.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;N119-02;Centrífuga;N119;B06;Thermo;Fresco 21;42885791;EM USO;n-glicanos em rFVIII ;;TAKEDA;INSTALADO;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001711/2024-92;23/2025;DATAMED LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;N119-03;Balança de Bancada;N119;B06;Mettler Toledo;ICS685K-3;C146972164;EM USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.002409/2023;20/2024;METTLER;Aguardando elaboração do relatório de requalificação (Will/Amanda).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;N119-04;Balança de Bancada;N119;B06;Mettler Toledo;ICS685K-3;C146972165;EM USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.002409/2023;20/2024;METTLER;Aguardando elaboração do relatório de requalificação (Will/Amanda).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;N119-05;Refrigerador;N119;B06;Thermo;TSX2305SZ;1142358501220514;FORA DE USO;"Determinação dos Agregados de Proteínas; 
Determinação de Tris e Histidina; 
Manitol e Trealose;  
Fator VIII recombinante em BDS;
n-glicanos em rFVIII; 
TTT";;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;"Qualificação térmica vencida. Aberto um RTDO 250313-0839 para que o SVC defina quais ações serão tomadas.
11/06: Qualificação térmica executada. No aguardo da emissão dos relatórios da DATAMED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;N119-06;Refrigerador;N119;B06;Thermo;TSX2305SZ;1142357201220514;FORA DE USO;"Determinação dos Agregados de Proteínas;
Determinação de Tris e Histidina; 
Manitol e Trealose; 
Fator VIII recombinante em BDS; 
n-glicanos em Rfviii; 
TTT  ";;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;"Qualificação térmica vencida. Aberto um RTDO 250313-0839 para que o SVC defina quais ações serão tomadas.
11/06: Qualificação térmica executada. No aguardo da emissão dos relatórios da DATAMED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;N119-08;Freezer (-25 a -15°C);N310;B06;Thermo;TSX1230FZ;1132574601210503;FORA DE USO;n-glicanos em rFVIII ;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;Qualificação térmica vencida. Será aberto um RTDO para que o SVC defina quais ações serão tomadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;N119-09;Chapa aquecedora;N119;B06;Fisher;MS7-H550-PRO;MN21CAX0000489;EM USO;"GLUTATIONA; 
WB";;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;N119-10;Chapa aquecedora;N119;B06;Fisher;MS7-H550-PRO;MN21CAX0000475;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;N119-11;Analisador de TOC;N119;B06;Sievers;M9;22017226;EM USO;ANÁLISE DE AP, API E VP;SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.004579/2023;19/2024;POLICONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;N119-12;Analisador de TOC;N119;B06;Sievers;M9;22027231;EM USO;ANÁLISE DE AP, API E VP;SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.004579/2023;19/2024;POLICONTROL;Aguardando aprovação do relatório de qualificação no stardoc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;N119-14;Banho ultrassônico;N119;B06;Fisher;CPX8800HE;BIG042278810D;EM USO;pH do BDS;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;N119-15;Banho-maria (37°C ±1°C);N119;B06;Polyscience;WBE05;E12240342;EM USO;Fator VIII recombinante em BDS;;TAKEDA;INSTALADO;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;N119-16;Banho-maria;N119;B06;Polyscience;MX07R-20-A13D;2205-02026;EM USO;"Determinação de Tris e Histidina; 
Manitol e Trealose";SIM;TAKEDA;INSTALADO;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;N119-17;Polarimetro Digital;N119;B06;Kruss;P8000-T;4180150227;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;N119-18;HPTLC – Cromatografia em Camada Delgada de Alta Eficiência;N119;B06;CAMAG;ATS4 / VisionCATS ver Básica;261004;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001819/2024;17/2024;CAMAG / AUTEC;Aguardando homologação do relatório de requalificação (Williamis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;N119-20;Refratômetro digital;N119;B06;Kruss;AR2008;2200810852;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;N119-21;Ponto de fusão;N119;B06;Kruss;M3000;2202051113;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;N119-22;Mufla;N119;B06;Nabertherm;L3/12;424944;FORA DE USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001578/2024;24/2025;Mec-Q / Trescal;"Qualificação térmica vencida. Aguardando execução de nova qualificação
11/06: Solicitada a elaboração dos protocolos de qualificação à TRESCAL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;N119-23;Infravermelho (IR);N119;B06;Perkin Elmer;Spectrum Two / Spectrum 10ES Software ZnSe;119951;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.000795/2024;34/2024;PERKINELMER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;N119-24;Bico de Bunsen elétrico;N119;B06;Cole-Parmer;MC5;M035200/18;EM USO;;;TAKEDA;INSTALADO;NÃO;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;N119-25;Estufa;N119;B06;Thermo;OMH60 62L;43008777;FORA DE USO;UMIDADE HEMO8R KARL FISHER;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;Qualificação térmica vencida. Será aberto um RTDO para que o SVC defina quais ações serão tomadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;N119-27;Contador de partículas;N119;B06;HIAC;9703+ C/ HRLD150;2204251011;FORA DE USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.000453/2024-27;38/2025;DAFRA TECHNOLOGIES;Aguardando reunião de kick-off para agendamento dos serviços.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;N119-28;Titulador Automático;N119;B06;Metrohm;Titrando 888;1900001041239;EM USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.006163/2023;42/2024;METROHM;O equipamento foi calibrado pela Metrohm. Aguardando avaliação do SVC. Será necessário revisar o plano de calibração.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;N119-29;Ultra-freezer;N119;B06;Thermo;TSX60086D;1125968301220602;FORA DE USO;"Determinação dos Agregados de Proteínas; 
Fator VIII recombinante em BDS ;
n-glicanos em rFVIII; 
TTT ";;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;"Qualificação térmica vencida. Aberto um RTDO 250313-0839 para que o SVC defina quais ações serão tomadas.
11/06: Aguardando a execução da qualificação térmica pela DATAMED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;N119-30;Titulador Karl Fischer;N119;B06;Metrohm;Titrando 852;1803001049514;EM USO;UMIDADE HEMO8R KARL FISHER;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.006163/2023;42/2024;METROHM;O equipamento foi calibrado pela Metrohm. Aguardando retorno do SVC.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;N119-31;Turbidímetro Portátil;1N119;B06;PoliControl;AP2000 WT;22084313;FORA DE USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;"Aguardando assinatura do contrato com a Mec-Q para execução do serviço.
11/06: Aguardando emissão da nota fiscal para envio do equipamento para calibração na Trescal";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;N119-33;Termostato de circulação;N119;B06;Kruss;PT80;2508010182;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;N119-34;Bomba de vácuo;N311;B06;SOLAB;SL - 61;14090026;EM USO;DILUENTE sWFI PARA HEMO8R;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;N119-35;Bomba de vácuo;N311;B06;SOLAB;SL - 61;14090027;EM USO;"DILUENTE sWFI PARA HEMO8R; 
pH do BDS";;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;N121-01;Balança Analítica;N119;B06;Mettler Toledo;XSR205DU;C203415567;EM USO;"ANÁLISE DE AP, API E VP;
DILUENTE sWFI PARA HEMO8R; 
UMIDADE HEMO8R KARL FISHER; 
Determinação dos Agregados de Proteínas; 
Determinação de Tris e Histidina;
Manitol e Trealose; 
Fator VIII recombinante em BDS; 
 n-glicanos em rFVIII; 
TTT  ";SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.002409/2023;20/2024;METTLER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
